id,name,runtime,entrypoint,entrypoint_exists,resource_count,risk_level,permission_count,connector_count,external_write_allowed,requires_confirmation,dry_run_default,rollback_required,handles_sensitive_data,activation_priority,source_type,source_file,description
ai-project-feasibility-assessment,ai-project-feasibility-assessment\,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,AI 專案落地評估 Skill，用商業價值與八維度框架評估 AI 專案是否值得導入、如何設計 MVP 與驗收指標。
ai-research-lab,Ai Research Lab,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,research-lab AI 研究實驗室 Skill v3.1，將複雜主題拆成可驗證、可收斂、可決策的研究流程。
ai-security-agent-governance,Ai Security Agent Governance,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,AI 資安與 Agent 治理 Skill，檢查 AI Agent、自動化流程與企業平台的身份、權限、Shadow AI、資料外洩與煞車系統。
ai-virtual-board-supervisor-agent,Ai Virtual Board Supervisor Agent,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,True,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,AI 虛擬董事會 Supervisor Agent Skill，調度 CFO、CHRO、COO、CPRO、CSO，彙整跨職能建議並保留人工決策節點。
analyzing-business-models,Analyzing Business Models,instruction_only,SKILL.md,True,1,medium,0,0,False,False,True,False,False,60,,,"Diagnose businesses, products, personal brands, services, courses, consulting offers, and projects with the Business Model Canvas to evaluate sustainability, weak links, and North Star metrics tied to revenue."
app-performance-benchmark-optimizer,app-performance-benchmark-optimizer,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,70,user_provided_backup,docs/sources/skills_export_20260818.zip,"Establish app performance benchmarks, identify latency or memory bottlenecks, and execute measurable code optimizations with before/after reports. Use when the user asks to optimize app performance, profile latency, or fix performance bottlenecks."
article-to-social-content-pack,Article To Social Content Pack,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,將長文、對話、影音逐字稿或核心主題，一鍵改寫並拆解為多平台社群內容切片大禮包。內容包含 1200 字深度長文（WHY-HOW-WHAT 金字塔架構）、10 個高點擊吸睛標題、IG 5-6 頁圖文卡片視覺與短影音腳本、Midjourney 英文 AI 繪圖提示詞，以及 Threads 5 則金句串文。支援自動匯出與同步至 Google Drive/Docs/Sheets。適用於使用者要求將文章轉為社群貼文、做多平台內容矩陣、產出 IG 圖文、Threads 串文、短影音腳本或匯出貼文檔案時。
business-efficiency-scaling-strategy,Business Efficiency Scaling Strategy,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,商業效率與規模化做局 Skill，用 3S（系統化、持續性、規模化）與剛需象限診斷生意並設計做局策略。
business-model-canvas-diagnosis,Business Model Canvas Diagnosis,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,True,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,商業模式九宮格診斷 Skill，用九宮格診斷價值主張、客群、通路、活動、資源、成本與收益並找出斷點。
checklist-manifesto-agent,Checklist Manifesto Agent,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,清單革命 Agent Skill，依據《清單革命》與 Boorman 六原則，協助使用者設計、使用與診斷 5-9 項 Checklist。
client-filtering-brand-positioning,Client Filtering Brand Positioning,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,True,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,客戶篩選與品牌定位 Skill，依市場規模、品牌定位與期待管理判斷該服務誰、不服務誰與如何有限客製化。
cloudflare-skills,cloudflare-skills,instruction_only,SKILL.md,True,0,high,0,1,False,True,True,True,True,70,user_provided_backup,docs/sources/skills_export_20260818.zip,Cloudflare 微服務、Workers/Pages 部署與 DNS 設定診斷 Skill。當使用者需要管理、部署或排錯 Cloudflare 服務與網域設定時使用。
couple-podcast-hosting,Couple Podcast Hosting,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,夫妻對談 Podcast 主持流程 Skill，提供提問、追問與收尾腳本、三幕劇節奏與降溫技巧。
course-outline-source-enricher,Course Outline Source Enricher,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,"Extract, verify, and format URLs and web references within course outlines, appending them into structured source lists. Use when the user asks to add web references, sources, or links to a course syllabus or outline."
customer-service-email-routing,Customer Service Email Routing,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,True,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,信件與客服分流回覆 Skill，收信分類、依知識庫產出草稿並進行風險分級與人審放行。
daily-devotional-prayer-guide,daily-devotional-prayer-guide,instruction_only,SKILL.md,True,0,medium,0,0,False,True,True,False,True,60,user_provided_backup,docs/sources/skills_export_20260818.zip,"Guide users through a structured 4-phase daily spiritual devotional and prayer workflow (preparation, SOAP meditation, deep reflection questions, and responsive prayer). Use when the user asks for daily devotional guidance, Bible verse meditation, SOAP reflection, or structured prayer prompts."
data_analysis,Data Analysis Skill,python,run.py,True,5,medium,0,0,False,True,True,False,True,60,,,Analyze CSV or Excel files and generate privacy-conscious Markdown reports with redacted previews.
decision-consulting-matrix,Decision Consulting Matrix,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,決策諮詢 Skill（顧問級提問與方案比較），把重大選擇拆成方案矩陣：條件釐清、成本效益、風險、逆轉成本與建議。
decision-making-superpowers,Decision Making Superpowers,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,obra/superpowers 決策類 skill，協助把模糊問題、選項與權衡條件整理成可判斷、可比較、可執行的決策流程。
design-proposal-portfolio-persuasion,Design Proposal Portfolio Persuasion,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,True,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,設計提案與作品集說服力 Skill，將設計專案整理成有脈絡的提案與作品集，並用十個設計心法檢查品質。
designing-pricing-systems,Designing Pricing Systems,instruction_only,SKILL.md,True,1,medium,0,0,False,False,True,False,False,60,,,"Design pricing strategy, quotation logic, sales conversion flows, repurchase systems, CRM follow-up, discounts, trials, referrals, and social proof for products and services."
dual-agent-human-sop,Dual Agent Human Sop,instruction_only,SKILL.md,True,0,high,0,0,True,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,雙 Agent 協作 Human 操作 SOP｜Hermes × OpenClaw × Obsidian，建立任務卡、審核報告與沉澱流程。
emil-design-eng,emil-design-eng,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,True,70,user_provided_backup,docs/sources/skills_export_20260818.zip,"This skill encodes Emil Kowalski's philosophy on UI polish, component design, animation decisions, and the invisible details that make software feel great. Use when designing, building, or reviewing UI components, animations, transitions, or web interfaces."
enterprise-sovereign-ai-adoption,Enterprise Sovereign Ai Adoption,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,True,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,企業主權 AI 平台導入 Skill，評估 AI 任務應採雲端、受控或私有部署，設計資料、權限、稽核與 MVP 路線圖。
full-sprint,Full Sprint,instruction_only,SKILL.md,True,1,high,0,0,True,True,True,True,True,80,,,"Turn a high-level goal into an executable, verifiable, pauseable, resumable, auditable sprint contract and continue PLAN → ACT → VERIFY → REVIEW → ITERATE within explicit safety, scope, validation, and budget limits."
full-sprint-execution,full-sprint-execution,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,70,user_provided_backup,docs/sources/skills_export_20260818.zip,軟體工程 Full Sprint 安全執行與交付 Skill。當使用者需要在限制範疇、測試保護與 Sprint 契約下進行多檔案開發或重構時使用。
game-inspiration-world-builder,game-inspiration-world-builder,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,70,user_provided_backup,docs/sources/skills_export_20260818.zip,"Generate 3D world inspiration concepts and autonomously build matching game code and assets. Use when the user asks to generate 3D world concepts, design game worlds, or build a game matching visual inspiration images."
gemini-spark-instructions,Gemini Spark Instructions,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,True,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,User instructions and operational guidelines for Gemini Spark based on onboarding personal research.
google-ads-audit,google-ads-audit,instruction_only,SKILL.md,True,0,high,0,1,False,True,True,False,False,70,user_provided_backup,docs/sources/skills_export_20260818.zip,Google Ads 廣告帳戶與成效審查/稽核 Skill。當使用者需要審查 Google Ads 帳戶架構、關鍵字策略、成效指標 (CPA/ROAS) 或優化廣告文案時使用。
high-energy-daily-routine-designer,high-energy-daily-routine-designer,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,False,True,70,user_provided_backup,docs/sources/skills_export_20260818.zip,"Audit personal lifestyle and design an optimized daily routine for high energy covering sleep, nutrition, exercise, social, creative, and career growth. Use when the user asks for life audit, daily routine design, or energy optimization plan."
interactive-skill-learning-curriculum,interactive-skill-learning-curriculum,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/skills_export_20260818.zip,"Research optimal learning methods for any target skill and design an interactive curriculum with videos, podcasts, reading materials, and checkable milestones. Use when the user asks to teach a skill, create a learning roadmap, or build an interactive course curriculum."
life-scenario-simulation-matrix,life-scenario-simulation-matrix,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,False,False,70,user_provided_backup,docs/sources/skills_export_20260818.zip,"Conduct a 50-question life audit and simulate 30-year life trajectories across career, health, exercise, and relationship variables into structured matrices. Use when the user asks for a 50-question life survey or 30-year life scenario simulation."
logotype-design-logic-practice,Logotype Design Logic Practice,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,標準字設計：從生活創意到邏輯實踐，拆成識別性、造型性、系統性三原則，提供 Brief、檢核表與規範。
lovable_github_cloudflare_worker,Lovable GitHub Cloudflare Worker,instruction_only,SKILL.md,True,1,high,0,0,False,True,True,True,True,80,,,Stabilize a Lovable-generated project into a GitHub-managed and Cloudflare Worker-ready delivery pipeline.
making-decisions,Making Decisions,instruction_only,SKILL.md,True,1,low,0,0,False,False,True,False,False,40,,,"Structure ambiguous choices into clear decision statements, comparable options, weighted evaluation criteria, uncertainty maps, recommendations, counterarguments, and low-cost validation experiments."
managing-public-relations,Managing Public Relations,instruction_only,SKILL.md,True,1,high,0,0,False,True,True,True,True,80,,,"Build public relations strategy, brand messaging, stakeholder communication, PESO media strategy, media interview preparation, and crisis response plans."
marketing-brief-competitor-analyst,Marketing Brief Competitor Analyst,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,"Analyze marketing briefs, research real-time market competitors, and deliver strategic brand messaging positioning recommendations. Use when the user asks to analyze marketing briefs, research competitors, or refine brand positioning."
mcp_builder,MCP Builder,instruction_only,SKILL.md,True,1,medium,0,0,False,True,True,False,True,60,,,"Guide MCP server setup, Warp integration, and validation steps for new tools or services."
merchant-info-verification,Merchant Info Verification,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,True,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,店家官網與社群資料查核 Skill，批次查核店家官網、地址、Google Maps 與官方 Instagram 等公開資料。
mimo-hermes-openclaw-diagnosis,Mimo Hermes Openclaw Diagnosis,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,協助設定與排錯 Xiaomi MiMo、Hermes Agent、OpenClaw 的模型連線，確認 API Key 類型、Base URL、provider 名稱與模型名稱。
minerva-82-hcs-daily-coach,Minerva 82 Hcs Daily Coach,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,Minerva 82 HCs 每日教練 Agent Skill，將 Minerva 82 HCs 心智習慣轉成每日學習、練習、應用與反思。
moosie-ai-startup-brand-assets,Moosie Ai Startup Brand Assets,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,Moosie Education AI 新創申請與品牌資產整理，包含英文官網、LinkedIn、Pitch deck 與對外品牌敘事。
moosie-niche-demolisher,Moosie Niche Demolisher,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,True,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,【Research Skill】Moosie｜Category-of-One Niche Demolisher，找出高需求、低競爭的 Instagram 補教品牌子定位。
multi-agent-research-workflow,multi-agent-research-workflow,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/skills_export_20260818.zip,"An advanced multi-agent research workflow inspired by Claude Research architecture, enhanced with Full Sprint engineering controls. Use when conducting deep multi-perspective research, executing parallel subagent investigation tasks, or synthesizing research into actionable software engineering sprint contracts."
mvp-validation-iteration,Mvp Validation Iteration,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,產品 MVP 驗證與迭代 Skill，用需求四象限、MVP、假廣告、預購、用戶訪談與放棄率分析驗證產品。
naval-backstage-simulator,naval-backstage-simulator,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,False,False,70,user_provided_backup,docs/sources/skills_export_20260818.zip,"Simulate a multi-expert backstage debate synthesized through Naval Ravikant's mental models (leverage, specific knowledge, compounding, judgment) to produce concise, high-leverage, plain-text aphorisms and execution logic (ESSENCE_DISTILLATION.txt). Use when the user asks for Naval Ravikant style decision framework, multi-expert debate distillation, or plain-text high-leverage advice."
negotiation-strategy-script,Negotiation Strategy Script,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,談判準備與出牌策略 Skill，用談判八問、議題組合、出牌策略、回應劇本與 BATNA 完成談判前準備。
newsletter-topic-selection-writing,Newsletter Topic Selection Writing,instruction_only,SKILL.md,True,0,low,0,0,False,True,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,電子報選題與撰寫 Skill，每週固定選題、主文撰寫、標題/預覽文字、導流 CTA 與待審寄送流程。
notion-ai-workflow-design,Notion Ai Workflow Design,instruction_only,SKILL.md,True,0,high,0,1,False,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,協助判斷工作流程應沉澱成文件、Skill、資料庫自動化、N8N 或 AI Agent，並設計 Notion AI 工作流。
notion-smart-doc-role-adapter,Notion Smart Doc Role Adapter,instruction_only,SKILL.md,True,0,medium,0,1,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,智能文件角色適應器，根據 Notion 文件類型、內容成熟度與意圖，切換編輯、顧問、SOP 設計師等角色。
open-slide,open-slide,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,70,user_provided_backup,docs/sources/skills_export_20260818.zip,"Create, draft, edit, and manage web-native React presentations using the open-slide framework. Use when the user requests creating slides, building presentation decks with React/open-slide, editing slide components, or exporting open-slide presentations."
openclaw-agent-handbook,Openclaw Agent Handbook,instruction_only,SKILL.md,True,0,high,0,0,True,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,OpenClaw Agent 專屬手冊，做為穩定執行者依照 Hermes Plan 完成任務、記錄結果、回報差異與提出 Skill 候選。
optimizing-google-ads,Google Ads AI Copilot,instruction_only,SKILL.md,True,1,high,0,1,False,True,True,True,True,80,,,"Analyze Google Ads performance and produce read-only health reports, search term audits, negative keyword suggestions, RSA copy ideas, budget pacing, action queues, and n8n/Notion/MCP integration plans with human approval required before write or spend-impacting operations."
opus-5-skill-calibration-standards,Opus 5 Skill Calibration Standards,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,Opus 5 世代 Skill 校準準則，作為整座 Skill 庫全面體檢、減法優化與約束補強的標準。
parent-communication-trust-building,Parent Communication Trust Building,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,True,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,家長訊息回覆與信任建立 Skill（Moosie 老師版），產出四段結構（同理、具體觀察、做法、下一步）的 LINE 回覆草稿。
pdf-study-guide-generator,Pdf Study Guide Generator,instruction_only,SKILL.md,True,0,medium,0,0,True,False,True,True,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,"Transform class notes into a comprehensive structured study guide, generate 5 practice questions, and compile them into a PDF. Use when the user asks to summarize notes into a PDF study guide with practice questions."
personal-brand-sponsorship,Personal Brand Sponsorship,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,True,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,個人品牌與廠商合作 Skill，協助創作者建立個人品牌定位、內容策略、廠商邀約判斷、合約檢查與業配文案。
pr-brand-crisis-management,Pr Brand Crisis Management,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,公關品牌與危機處理 Skill，設計公關策略、品牌核心訊息、PESO 媒體組合、利益關係人管理與危機處理 SOP。
precise-narrative-storytelling,Precise Narrative Storytelling,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,精準敘事 Skill｜把真實經驗變成好故事，用衝突找亮點、4P 萃取故事 DNA、故事九宮格三幕劇展開。
presentation-structure-visual-script,Presentation Structure Visual Script,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,簡報製作 Skill（結構→視覺→講稿），先定敘事骨架與每頁一個訊息，再產出版面與講稿備忘。
presentation-yaml-design-architect,presentation-yaml-design-architect,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,50,user_provided_backup,docs/sources/skills_export_20260818.zip,"Transform presentation topics or draft text into a structured presentation design blueprint in YAML format (PRESENTATION_DESIGN.yaml) specifying global design specs, color schemes, layout rules, page-by-page visual descriptions, and content generation prompts. Use when the user asks to generate presentation design blueprints, YAML slide architectures, or structured presentation visual specs."
pricing-strategy-conversion-system,Pricing Strategy Conversion System,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,定價策略與成交系統 Skill，設計價格、報價情境、成交流程與回購系統。
problem-reframing-constraints,Problem Reframing Constraints,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,問對問題與限制條件 Skill，透過現況分析、目標設定、障礙與限制條件，把模糊困境拆成可處理的核心問題。
product-idea-scoring-matrix,product-idea-scoring-matrix,instruction_only,SKILL.md,True,0,medium,0,0,False,True,True,True,True,60,user_provided_backup,docs/sources/skills_export_20260818.zip,"Generate 100 product or SaaS ideas based on skills/interests and score each across market demand, execution difficulty, differentiation, startup cost, and time-to-first-revenue. Use when the user asks for 100 product ideas, SaaS ideation, or startup idea scoring matrix."
product-launch-gate-checklist,Product Launch Gate Checklist,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,產品上線關卡檢查 Skill｜八階段 Exit Criteria，核對 Phase 0-7 上線關卡條件，判定 Go/No-Go。
product-revenue-growth-tracker,Product Revenue Growth Tracker,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,"Calculate revenue growth rates across product lines, build dynamic spreadsheets, and generate trend charts. Use when the user asks to compute revenue growth rates or plot product line revenue trends."
progressive-quiz-generator,Progressive Quiz Generator,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,"Generate 5 quizzes with progressive difficulty and distinct sub-topics based on user reference data. Use when the user asks to create progressive tests, multi-level quizzes, or topic-focused assessments from study materials."
questioning-leadership-dialogue,Questioning Leadership Dialogue,instruction_only,SKILL.md,True,0,low,0,0,False,False,True,False,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,提問式領導 Skill｜用好問題帶人、溝通與對話，以好奇心為核心，用 5WH 與 ALAR 四步驟引導對話。
real-estate-market-modeler,Real Estate Market Modeler,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,"Analyze real estate transactions, research local market trends and forecasts, and build a financial valuation/modeling Google Sheet. Use when the user asks to evaluate real estate deals, research nearby property trends, or build real estate valuation spreadsheets."
reconcile,Reconcile,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,處理財務、帳務或資料對帳（Reconciliation）的技能，協助核對資料差異、產出對帳報告與差異分析。
renovation-expense-tracker,Renovation Expense Tracker,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,"Process renovation receipts, categorize contractor engineering items and costs, and generate an expense tracking Google Sheet. Use when the user asks to organize renovation receipts or build a renovation project cost tracking spreadsheet."
research-lab,research-lab — AI 研究實驗室,instruction_only,SKILL.md,True,1,medium,0,0,False,False,True,False,False,60,,,"Break complex research, investigation, market analysis, product analysis, competitor analysis, technical trend research, business model analysis, growth strategy, SEO/GEO, education, AI, or tutoring topics into verifiable breadth scans, depth dives, cross-validation, and decision-ready reports."
research-to-insight,Research To Insight,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,Research-to-Insight 多來源研究轉洞察技能包，把文章、PDF、網頁、簡報等轉成 10 種結構化成果。
routine-task-report-aggregation,Routine Task Report Aggregation,instruction_only,SKILL.md,True,0,low,0,0,True,False,True,True,False,40,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,雜事處理與報表彙整 Skill，定時抓取各平台數據、彙整成週報／月報，並把散落待辦收斂進單一任務庫。
rumor-buster,Rumor Buster,instruction_only,SKILL.md,True,0,high,0,0,False,True,True,True,False,80,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,根據 Allport & Postman 謠言心理學框架，系統性分析謠言與未經證實訊息的形成背景、傳播動機、失真機制（平化、銳化、同化），並產出結構化查證與破解應對策略。適用於假新聞、網路謠言、陰謀論分析與危機溝通。
single-source-of-truth-knowledgebase,Single Source Of Truth Knowledgebase,instruction_only,SKILL.md,True,0,medium,0,0,False,False,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,知識庫建置與單一真相源 Skill，將散落資訊收斂成可被 Agent 取用的單一真相源（Single Source of Truth）。
social-content-batch-production,Social Content Batch Production,instruction_only,SKILL.md,True,0,medium,0,0,False,True,True,False,False,60,user_provided_backup,docs/sources/Skills_Full_Configurations_Backup_20260818.md,社群經營內容量產 Skill，從既有素材拆解產出一週社群貼文排程，包含平台改寫、標題鉤子與圖文建議。
